Query size: 111350408
z	#strch	#TP	#FP	#FN	#TN	FPR%	FNR%	
0	NA	4341814	10705841	0	96302753	10.00466	0.0
1	8652466	12976128	2062451	9076	96302753	2.09673	0.06989
2	872808	14675658	339878	32119	96302753	0.35169	0.21838
3	95009	14911939	79224	56492	96302753	0.0822	0.37741
4	16842	14918513	42253	86889	96302753	0.04386	0.57905
5	10145	14879944	36175	131536	96302753	0.03755	0.87624
6	7195	14841586	33769	172300	96302753	0.03505	1.1476
7	6575	14798743	32178	216734	96302753	0.0334	1.4434
8	7675	14740195	30752	276708	96302753	0.03192	1.84264
9	6283	14686772	29190	331693	96302753	0.0303	2.20857
10	5853	14630988	27817	388850	96302753	0.02888	2.58891
11	6690	14559772	26630	461253	96302753	0.02764	3.07072
12	5087	14501570	25209	520876	96302753	0.02617	3.46732
13	4448	14446082	24041	577532	96302753	0.02496	3.84416
14	4968	14378482	23065	646108	96302753	0.02394	4.30034
15	3956	14321286	21993	704376	96302753	0.02283	4.68782
16	3685	14264258	21027	762370	96302753	0.02183	5.07346
17	3765	14201867	20220	825568	96302753	0.02099	5.49374
18	3106	14147729	19335	880591	96302753	0.02007	5.85954
19	2950	14093099	18625	935931	96302753	0.01934	6.22749
20	3360	14027133	18008	1002514	96302753	0.0187	6.67024
21	2712	13971631	17283	1058741	96302753	0.01794	7.04401
22	2435	13919237	16695	1111723	96302753	0.01733	7.39622
23	2916	13853303	16128	1178224	96302753	0.01674	7.83835
24	2271	13799905	15575	1232175	96302753	0.01617	8.19697
25	2285	13743812	15059	1288784	96302753	0.01563	8.57326
26	2428	13681590	14606	1351459	96302753	0.01516	8.98992
27	2070	13626764	14074	1406817	96302753	0.01461	9.35783
28	1976	13572360	13612	1461683	96302753	0.01413	9.72249
29	2115	13511971	13139	1522545	96302753	0.01364	10.127
30	1892	13456137	12676	1578842	96302753	0.01316	10.50113
31	1860	13399327	12251	1636077	96302753	0.01272	10.8815
32	1997	13336225	11850	1699580	96302753	0.0123	11.30355
33	1849	13276220	11344	1760091	96302753	0.01178	11.7056
34	1773	13216650	10988	1820017	96302753	0.01141	12.10386
35	1941	13149523	10584	1887548	96302753	0.01099	12.55263
36	1778	13086245	10219	1951191	96302753	0.01061	12.97556
37	1635	13026444	9872	2011339	96302753	0.01025	13.37524
38	1749	12960722	9502	2077431	96302753	0.00987	13.8144
39	1782	12892040	9094	2146521	96302753	0.00944	14.27345
40	1713	12824258	8725	2214672	96302753	0.00906	14.72626
41	1895	12747205	8404	2292046	96302753	0.00873	15.24043
42	1787	12673027	7966	2366662	96302753	0.00827	15.73611
43	1600	12604911	7624	2435120	96302753	0.00792	16.19092
44	1434	12542467	7298	2497890	96302753	0.00758	16.60792
45	1549	12473502	6928	2567225	96302753	0.00719	17.06849
46	1513	12404582	6589	2636484	96302753	0.00684	17.52857
47	1499	12334849	6229	2706577	96302753	0.00647	17.99415
48	1389	12268771	5932	2772952	96302753	0.00616	18.43507
49	1223	12209460	5624	2832571	96302753	0.00584	18.83104
50	1164	12151762	5373	2890520	96302753	0.00558	19.21597
51	1193	12091421	5122	2951112	96302753	0.00532	19.61845
52	1117	12033887	4847	3008921	96302753	0.00503	20.00239
53	1051	11978658	4610	3064387	96302753	0.00479	20.37079
54	1057	11922026	4387	3121242	96302753	0.00456	20.74843
55	1007	11867075	4170	3176410	96302753	0.00433	21.11485
56	1002	11811425	3939	3232291	96302753	0.00409	21.48599
57	873	11762106	3718	3281831	96302753	0.00386	21.81497
58	874	11711856	3497	3332302	96302753	0.00363	22.15014
59	770	11666806	3307	3377542	96302753	0.00343	22.45057
60	861	11615488	3136	3429031	96302753	0.00326	22.79256
61	777	11568417	2973	3476265	96302753	0.00309	23.10627
62	696	11525631	2790	3519234	96302753	0.0029	23.3916
63	684	11482841	2639	3562175	96302753	0.00274	23.67678
64	679	11439671	2496	3605488	96302753	0.00259	23.96444
65	622	11399525	2354	3645776	96302753	0.00244	24.23199
66	650	11356899	2217	3688539	96302753	0.0023	24.516
67	637	11314554	2050	3731051	96302753	0.00213	24.79828
68	549	11277446	1938	3768271	96302753	0.00201	25.04547
69	557	11239307	1791	3806557	96302753	0.00186	25.29969
70	619	11196223	1668	3849764	96302753	0.00173	25.58665
71	3010	10982737	1556	4063362	96302753	0.00162	27.00608
72	2185	10826681	924	4220050	96302753	0.00096	28.04629
73	1023	10752982	434	4294239	96302753	0.00045	28.53842
74	416	10722726	170	4324759	96302753	0.00018	28.74074
75	146	10711994	61	4335600	96302753	6e-05	28.81258
76	52	10708128	18	4339509	96302753	2e-05	28.83847
77	19	10706687	7	4340961	96302753	1e-05	28.8481
78	9	10705997	1	4341657	96302753	0.0	28.85272
79	2	10705841	0	4341814	96302753	0.0	28.85376
