size FPR_findere FPR_BF
81036446 46.43690762297555 81.59666815003702
162072792 11.803714587835106 57.11263779751785
243109139 4.095695415836304 43.11917956628205
324145485 1.8335846053811475 34.50679959809017
405181831 0.9822978483565185 28.72258320038452
486218178 0.6073887961414163 24.574080788156703
567254524 0.4139809267024882 21.48402665573483
648290870 0.3065456261543482 19.065375559505696
729327217 0.2392389672393347 17.13549304796895
810363563 0.1949664109128618 15.566429518425794
891399910 0.16613719496575519 14.269316745966492
1053472602 0.1304271134442477 12.200594798346923
1323593756 0.09953187971401183 9.844889295896293
1593714911 0.08238697317057332 8.24564660640376
1863836066 0.07240755608656203 7.09790387860817
2133957220 0.06461009706605803 6.22814365346659
2404078375 0.05995157858726331 5.547334249280555
2674199530 0.0564700440203387 5.003604744873081
2998344916 0.05337291800597885 4.469983902452333
5591508000 0.0387653930085179 2.424305560722976
6644980503 0.03734084808813575 2.0413191772531785
35619976713 0.027227434450572838 0.3841519634196631
64594972924 0.026242892397526873 0.21204574467477502
93569969135 0.02577913127601487 0.1462011687217414
122544965346 0.02621818381318402 0.11255853047861374
151519961556 0.025557229182012718 0.09045622661884871
180494957767 0.02548452892423471 0.07590001945040753
209469953978 0.02541040317120615 0.06541645221278534
238444950189 0.02530919300841716 0.05745648673371873
267419946400 0.02535243303101715 0.05096668202305184
