size FPR_findere FPR_BF
100 100.0 100.0
81036446 0.7854448184295585 28.50110702610577
162072792 0.1314148266506178 15.443844620458595
243109139 0.06844723945572528 10.577160528774389
324145485 0.050777188782675585 8.043454689747444
405181831 0.042974661933812164 6.485733607762539
486218178 0.038421788219798914 5.435230124942593
567254524 0.03599418172775669 4.677063027323902
648290870 0.0335478025359388 4.107265151401528
729327217 0.03208056784294625 3.6596439577664843
810363563 0.031267413531610985 3.2948350710628693
891399910 0.030180573018283165 3.0020501171406586
1053472602 0.02862737912105469 2.5467765782549576
1323593756 0.027239187374485975 2.0325468817053736
1593714911 0.02597746434219541 1.690909434745908
1863836066 0.02530164715027157 1.4489075978273545
2133957220 0.024676219836692926 1.2661435090693185
2404078375 0.024277052957252528 1.1244639677887347
2674199530 0.02398755816597521 1.0111993777106913
2998344916 0.023740548958400706 0.9015193852529694
5591508000 0.022499574699546398 0.4814990004723014
6644980503 0.02231481181228067 0.40787840017313565
35619976713 0.021269468845825368 0.07639401968181223
64594972924 0.021188449825740932 0.042158543511986
93569969135 0.02118054553109855 0.028930706427956178
122544965346 0.021127191542262454 0.0220006161002459
151519961556 0.021128179579092753 0.017974366016781488
180494957767 0.021108418842486792 0.015157473013601848
209469953978 0.02111632313712918 0.01293636621909191
238444950189 0.021110394916147388 0.011319937964724358
267419946400 0.021101502584674706 0.010176779352069554
